origin_lat,origin_lon,dest_lat,dest_lon,migrants
-1.9646631,30.0644358,-34.9964963,-64.9672817,5
-1.9646631,30.0644358,-31.7613365,-71.3187697,10
-1.9646631,30.0644358,-28.8166236,24.991639,5105
-1.9646631,30.0644358,-26.5624806,31.3991317,478
-1.9646631,30.0644358,-23.2335499,17.3231107,772
-1.9646631,30.0644358,-23.1681782,24.5928742,92
-1.9646631,30.0644358,-19.302233,34.9144977,5124
-1.9646631,30.0644358,-18.9249604,46.4416422,14
-1.9646631,30.0644358,-18.4554963,29.7468414,4040
-1.9646631,30.0644358,-14.5189121,27.5589884,5974
-1.9646631,30.0644358,-13.2687204,33.9301963,19435
-1.9646631,30.0644358,-11.8775768,17.5691241,334
-1.9646631,30.0644358,-10.3333333,-53.2,21
-1.9646631,30.0644358,-6.5247123,35.7878438,791658
-1.9646631,30.0644358,-3.426449,29.9324519,936580
-1.9646631,30.0644358,-2.9814344,23.8222636,954
-1.9646631,30.0644358,-2.4833826,117.8902853,5
-1.9646631,30.0644358,-1.3397668,-79.3666965,10
-1.9646631,30.0644358,-0.8999695,11.6899699,114
-1.9646631,30.0644358,1.4419683,38.4313975,9928
-1.9646631,30.0644358,1.5333554,32.2166578,166934
-1.9646631,30.0644358,4.6125522,13.1535811,2889
-1.9646631,30.0644358,5.7499721,-9.3658524,5
-1.9646631,30.0644358,7.8699431,29.6667897,20
-1.9646631,30.0644358,7.9897371,-5.5679458,233
-1.9646631,30.0644358,8.0300284,-1.0800271,112
-1.9646631,30.0644358,8.3676771,49.083416,7
-1.9646631,30.0644358,8.6400349,-11.8400269,5
-1.9646631,30.0644358,8.7800265,1.0199765,267
-1.9646631,30.0644358,9.5293472,2.2584408,625
-1.9646631,30.0644358,9.6000359,7.9999721,37
-1.9646631,30.0644358,10.2116702,38.6521203,22
-1.9646631,30.0644358,10.7226226,-10.7083587,10
-1.9646631,30.0644358,12.7503486,122.7312101,21
-1.9646631,30.0644358,14.4750607,-14.4529612,161
-1.9646631,30.0644358,14.8971921,100.83273,6
-1.9646631,30.0644358,15.6134137,19.0156172,93
-1.9646631,30.0644358,16.3700359,-2.2900239,63
-1.9646631,30.0644358,17.7356214,9.3238432,39
-1.9646631,30.0644358,22.350627,114.1849161,82
-1.9646631,30.0644358,22.3511148,78.6677428,35
-1.9646631,30.0644358,23.6585116,-102.0077097,5
-1.9646631,30.0644358,26.2540493,29.2675469,115
-1.9646631,30.0644358,28.0000272,2.9999825,16
-1.9646631,30.0644358,28.3347722,-10.371337908392649,75
-1.9646631,30.0644358,30.3308401,71.247499,34
-1.9646631,30.0644358,30.8124247,34.8594762,156
-1.9646631,30.0644358,34.9174159,32.889902651331866,72
-1.9646631,30.0644358,35.0000663,104.999955,33
-1.9646631,30.0644358,35.8885993,14.4476911,5
-1.9646631,30.0644358,36.8002068,10.1857757,5
-1.9646631,30.0644358,38.9953683,21.9877132,298
-1.9646631,30.0644358,39.294076,35.2316631,35
-1.9646631,30.0644358,39.3260685,-4.8379791,309
-1.9646631,30.0644358,39.6621648,-8.1353519,49
-1.9646631,30.0644358,39.7837304,-100.445882,5577
-1.9646631,30.0644358,40.375713,-76.4626118,15
-1.9646631,30.0644358,42.6073975,25.4856617,73
-1.9646631,30.0644358,42.6384261,12.674297,302
-1.9646631,30.0644358,44.02432285,21.07657433209902,28
-1.9646631,30.0644358,46.1199444,14.8153333,10
-1.9646631,30.0644358,46.603354,1.8883335,8494
-1.9646631,30.0644358,46.7985624,8.2319736,779
-1.9646631,30.0644358,47.1817585,19.5060937,85
-1.9646631,30.0644358,47.59397,14.12456,297
-1.9646631,30.0644358,49.6112768,6.129799,36
-1.9646631,30.0644358,49.7439047,15.3381061,94
-1.9646631,30.0644358,50.6402809,4.6667145,11921
-1.9646631,30.0644358,51.1638175,10.4478313,3432
-1.9646631,30.0644358,52.215933,19.134422,36
-1.9646631,30.0644358,52.2434979,5.6343227,2492
-1.9646631,30.0644358,54.7023545,-3.2765753,4286
-1.9646631,30.0644358,55.670249,10.3333283,290
-1.9646631,30.0644358,59.6749712,14.5208584,629
-1.9646631,30.0644358,63.2467777,25.9209164,311
-1.9646631,30.0644358,64.5731537,11.52803643954819,535
