origin_lat,origin_lon,dest_lat,dest_lon,migrants
-34.9964963,-64.9672817,46.7985624,8.2319736,311
-32.8755548,-56.0201525,46.7985624,8.2319736,167
-31.7613365,-71.3187697,46.7985624,8.2319736,5855
-29.6826112,-51.4687455,46.7985624,8.2319736,255
-28.8166236,24.991639,46.7985624,8.2319736,265
-23.3165935,-58.1693445,46.7985624,8.2319736,58
-23.2335499,17.3231107,46.7985624,8.2319736,11
-19.302233,34.9144977,46.7985624,8.2319736,49
-18.9249604,46.4416422,46.7985624,8.2319736,56
-18.4554963,29.7468414,46.7985624,8.2319736,487
-17.0568696,-64.9912286,46.7985624,8.2319736,325
-14.5189121,27.5589884,46.7985624,8.2319736,5
-13.7693895,-172.12005,46.7985624,8.2319736,19
-13.2687204,33.9301963,46.7985624,8.2319736,35
-12.2045176,44.2832964,46.7985624,8.2319736,5
-11.8775768,17.5691241,46.7985624,8.2319736,11662
-10.3333333,-53.2,46.7985624,8.2319736,105
-6.8699697,-75.0458515,46.7985624,8.2319736,370
-6.5247123,35.7878438,46.7985624,8.2319736,112
-3.426449,29.9324519,46.7985624,8.2319736,2044
-2.9814344,23.8222636,46.7985624,8.2319736,779
-2.4833826,117.8902853,46.7985624,8.2319736,15
-1.9646631,30.0644358,46.7985624,8.2319736,779
-1.3397668,-79.3666965,46.7985624,8.2319736,461
-0.8999695,11.6899699,46.7985624,8.2319736,123
0.9713095,7.02255,46.7985624,8.2319736,5
1.4419683,38.4313975,46.7985624,8.2319736,301
1.5333554,32.2166578,46.7985624,8.2319736,542
1.613172,10.5170357,46.7985624,8.2319736,103
3.7203503,73.2244152,46.7985624,8.2319736,5
4.099917,-72.9088133,46.7985624,8.2319736,2394
4.1413025,-56.0771187,46.7985624,8.2319736,15
4.536307,-75.6723751,46.7985624,8.2319736,4371
4.6125522,13.1535811,46.7985624,8.2319736,3595
5.7499721,-9.3658524,46.7985624,8.2319736,2348
5.7587654,-73.9151617,46.7985624,8.2319736,15065
7.5554942,80.7137847,46.7985624,8.2319736,55394
7.8699431,29.6667897,46.7985624,8.2319736,265
7.9897371,-5.5679458,46.7985624,8.2319736,3905
8.0018709,-66.1109318,46.7985624,8.2319736,338
8.0300284,-1.0800271,46.7985624,8.2319736,3967
8.3676771,49.083416,46.7985624,8.2319736,24408
8.559559,-81.1308434,46.7985624,8.2319736,5
8.6400349,-11.8400269,46.7985624,8.2319736,4068
8.7800265,1.0199765,46.7985624,8.2319736,2660
9.5293472,2.2584408,46.7985624,8.2319736,583
9.6000359,7.9999721,46.7985624,8.2319736,19783
10.2116702,38.6521203,46.7985624,8.2319736,9995
10.7226226,-10.7083587,46.7985624,8.2319736,9529
11.8145966,42.8453061,46.7985624,8.2319736,85
11.815215,-15.2351044,46.7985624,8.2319736,2934
12.5433216,104.8144914,46.7985624,8.2319736,670
12.6090157,-85.2936911,46.7985624,8.2319736,71
12.7503486,122.7312101,46.7985624,8.2319736,18
13.470062,-15.4900464,46.7985624,8.2319736,5599
13.8000382,-88.9140683,46.7985624,8.2319736,207
14.4750607,-14.4529612,46.7985624,8.2319736,2524
14.8971921,100.83273,46.7985624,8.2319736,5
15.2572432,-86.0755145,46.7985624,8.2319736,37
15.5855545,-90.345759,46.7985624,8.2319736,10
15.6134137,19.0156172,46.7985624,8.2319736,605
15.9266657,107.9650855,46.7985624,8.2319736,3880
15.9500319,37.9999668,46.7985624,8.2319736,57946
16.0000552,-24.0083947,46.7985624,8.2319736,34
16.3471243,47.8915271,46.7985624,8.2319736,1103
16.3700359,-2.2900239,46.7985624,8.2319736,2425
17.1750495,95.9999652,46.7985624,8.2319736,357
17.7356214,9.3238432,46.7985624,8.2319736,962
19.1399952,-72.3570972,46.7985624,8.2319736,145
20.2540382,-9.2399263,46.7985624,8.2319736,1131
